Abstract,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper describes how material requirements planning (MRP) can provide a working solution to job shop scheduling problems. In particular, the critical factors relating to resource and capacity management are examined within a low volume, make-to-order company. A rough cut capacity planning (RCCP) module is described which, when used with a detailed capacity management methodology, has enabled the collaborating company to achieve substantial savings in work-in-progress (WIP), a marked reduction in machining lead times and viable control over customer lead times. Finally, an MRP production methodology is described, which allows such concepts as unit cost justification and machine utilisation to be re-examined. © 1988 Taylor and Francis Ltd.",1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The parametric approach to creating designs from a generalised model is discussed. The technique is extended to the manufacture of transfer port cores for two-stroke internal combustion engines. Bi-cubic patches representing each of the three-dimensional sides of the transfer port are constructed from a parametric model using the minimum amount of information. A postprocessor then creates a CNC program from the design data and enables the manufacture of cores for the casting of cylinder blocks containing the transfer ports, The complete process is illustrated by an example which takes a particular configuration through to final manufacture. © 1989 Taylor & Francis Group, LLC.",1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Two alternative objectives when analysing machining rates are to produce components at maximum production rate or at minimum cost. Tn this psiper, a procedure is introduced in which selected jobs, initially programmed in a schedule at maximum production rates, hare their machining rates reviewed in order to reduce costs. An integrated manufacturing system with a job shop work pattern is assumed and in which due date criteria are applied to finished jobs. The cost reduction procedure is designed to operate while maintaining the original schedule performance. © 1982 Taylor & Francis Group, LLC.",1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The steel industry is one of the first industries where operational research was successfully applied. The objective of the present paper is to summarize such applications high-lighting benefits and difficulties involved in the studios and in their subsequent implementation. The paper is divided into three sections. The first section contains a brief survey of the reported ease studies in literature pertaining to the application of O.R. techniques and methodology in production problems in the stool industry. The second section deals with a few case studies which illustrate the model building procedures and their usefulness in real life. The final section of the paper is devoted to a discussion of the potential areas where O.K. techniques and. methodology can be fruitfully applied in modeling production processes for control purposes. © 1972 Taylor & Francis Group, LLC.",1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ANSI Zl-4 is a set of sampling plans and procedures for sampling inspection by attributes which includes provisions for switching between normal, tightened, and reduced inspections as a function of the quality history. In the latest version of ANSI Zl-4 (American National Standard 1981), the switching rules were revised to simplify its use. Specifically, the use of the limit numbers in switching between normal and reduced inspections was made optional. Moreover, a statement in the standard suggests that the use of limit numbers will have little impact on the performance of the scheme. This paper describes the use of a simulation model to explore the effect of using the limit number criterion on the scheme's performance. The use of the limit numbers significantly impacted all seven of the performance measures across the 36 levels of sample size, acceptance number, And quality level examined in this study. The use of the optional limit numbers reduced the lots inspected prior to termination by 21%, the transitions between normal and reduced inspections by 55%, and fraction of lots inspected under reduced inspection by 51%, Using the limit numbers increased the fraction of lots rejected by 30%, the average run length on normal inspection by 37%, and the lots inspected on normal inspection by 36%. The results show that the limit numbers are effective in eliminating random switching between normal and reduced inspection. © 1987 Taylor and Francis Ltd.",1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A two-stage production line which is both balanced and unbalanced is investigated, where the service times at each station and the interarrival times to the system are independently and normally distributed. Computer simulation is employed in producing interdeparture times of the first station, expected time in the system per arrival and expected queue sizes. © 1976, Taylor & Francis Group, LLC.",1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When electrochemically machined, mild steel and cast iron have shown contrasting characteristics. Whilst the former has a high current efficiency (105 to 96° for current densities ranging from 75 to 1200 A/in.3), and a good surface finish (e.g. 30 micro-in. at 300 A/in.2), the latter has a poor efficiency (e.g. 3.5° at 150 A/in.2) and a poor finish (invariably greater than 200 micro-in.). This contrast has been attributed mainly to the differences in their carbon contents. Further tests on stools with different carbon contents have shown that an increase in carbon content does reduce the current efficiency. © 1971 Taylor and Francis Group, LLC.",1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A method of problem expansion is shown to increase the solution speed for a class of zero-one programming problems, especially when Lagiange multipliers are used to incorporate constraints into the problem objective function. © 1974, Taylor & Francis Group, LLC.",1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project-appraisal has long been a difficult task in that a number of methods of worth assessment have been proposed which do not necessarily lead to the same conclusion. The purpose of this paper is to bring forth an assessment technique which is theoretically appealing to the manager and is at the same time easy to calculate It is felt that one of the disadvantages of conventional assessment techniques is that they neglect the fact that income is not generated as an end of period, lump sum amount but rather that it is distributed over time in some pattern. The method developed in this paper is sensitive to the time variable earning pattern of the project. This is accomplished by utilizing the concepts of a time variable earning rate and continuous compounding A number of examples are provided to illustrate the use of the method in cases of uniform, increasing, decreasing and cyclic earning rates, and comparisons are made with the conventional analyses. © 1970 Taylor & Francis Group, LLC.",1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The purpose of this paper is two fold: first to provide a method for evaluating projects which have an income pattern describable by a polynomial function of time, and to provide a means for evaluating projects which exhibit a yearly growth or decline in earnings while maintaining the ability to account for the time pattern of earnings, and second to bring forth an assessment technique which will reflect the possibility of attaining various levels of income for each of the periods of interest. Methods utilized in developing the various models are based on the concept of dynamic return. The future and present worths of a project are calculated for the case in which the earnings follow a pattern of the form given by either Ctm or C(l — t)m. Two types of growth patterns, geometric, in which earnings increase or decline by a fixed percentage each year, and arithmetic, in which earnings increase or decrease by a fixed amount each year, are analyzed. Finally, an income model based on the binomial distribution is developed for evaluating projects which could have two income levels, each having an associated probability. Upper and lower confidence limits for the present and future worths of the project are calculated. Extensions are noted which will permit the inclusion of any of a number of levels of profit for each year of the project. © 1970 Taylor &amp; Francis Group, LLC.",1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Material requirements planning (MRP) is a way to develop the time phased material and other resource requirements to satisfy the needs of a master production schedule. Hierarchical production planning (HPP) is a framework for analysis and decision making in complex production environments. They are complementary approaches to the decision support system needs of multi-stage production systems. The hierarchical approach provides for efficient management review of proposed plans at corporate, plant, and shop levels while MRP provides a sound and detailed basis for understanding the implications of proposed plans and for executing the selected plan. The relationships between these two approaches are illustrated with an example application. © 1987 Taylor & Francis Group, LLC.",1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eight subjects performed a paced conveyor inspection task of small zinc-plated washers. There were two fault types, one considerably more difficult to detect than the other. Each fault type had a probability of occurrence of 0-0, 0-025 or 0 05 providing eight different batch conditions, four where only one fault type was present and four where both were present. All subjects were tested twice on each of the eight conditions. There were 1800 washers in each batch condition, which were inspected at a rate of 3 per second. The results demonstrated that the probability of detection of either fault type was significantly reduced when subjects were searching for the two fault types simultaneously, the decrease in probability being greater the larger the a priori probability of the other fault type. Signal detection theory analysis suggested that these results were due to changes in sensitivity rather than in response bias. The classical vigilance effect of signal probability was not observed. © 1979, Taylor & Francis Group, LLC.",1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variables acceptance sampling plans are designed under the assumption that measurement on the characteristic of interest may be performed without error. To the contrary, variables measurement tasks are often confounded by human inspection error and/or instrument test error. The net result may be characterized in terms of bias and imprecision, where (1) bias is the difference between the true dimension of a unit of product and the average of a long series of repeated measurements on that unit, and (2) imprecision is the dispersion of repeated measurements on the same unit of product. This paper considers the design of variables acceptance sampling plans for a general lot distribution with known and constant variance and either an upper or lower specification limit. Bias, imprecision, and their combined effects on the operating characteristic curve are examined in detail and found to be quite significant. A method is then presented whereby the variables sampling plan may be designed to explicitly compensate for measurement error and provide the desired operating characteristic curve. An example problem is used to illustrate the important results of the paper. © 1975, Taylor & Francis Group, LLC.",1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Many Production Managers are faced with the problem of planning production, inventory and work force under the constraint of limited resources to meet a seasonal demand. Considerable research has been done on this planning problem and various models have been proposed. The linear decision rule (LDR), especially as applied to the well-known Paint Shop, represents a milestone in the development of such models and serves as a standard against which the performances of many other models are measured. A separable programming (SEP) approach is presented as an improved solution methodology for aggregate production planning. The LDR cost functions for the paint shop are approximated by piecewise linear segments. The results of this model are compared to various other planning models (e.g. linear programming (LP), goal programming and LDR models). In those cases where linearity of the cost functions of an undertaking may reasonably be assumed, an ordinary LP model suffices. In many cases, however, this simple linear approach to certain essentially non-linear cost functions is unacceptable due to the gross approximation made. Then SEP provides for an improved methodology without excessive formulation or solution effort. A close approximation of involved cost functions is possible simply by increasing the number of linear segments. © 1980 Taylor and Francis Ltd.",1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The problem of determining the optimum location for a single undesirable machine within an existing plant layout is considered. The degree of undesirability between an existing machine or worker and the new machine is reflected through a weighting factor. The problem is defined to be the selection of location within a convex region that maximizes the minimum weighted Euclidean distance with respect to all the existing facilities. A model is formulated and an algorithm developed. As the number of existing facilities increases, however, the computation time increases substantially. A heuristic approach based on partial enumeration is described.",1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The problem of determining the optimum location for a single undesirable mnchine within an existing plnnt layout is considered. The degme of undesirability between an existing machine or worker and the new machine is reflected through a weighting factor. The problem is defined to be the selection of n location within a convex region that maximizes the minimum weighted Euclidean distance with respect to all the existing facilities. A model is formulated and an algorithm developed. As the number of existing facilities increases, however, the computation time increases subatmtially. A heuristic approach hased on partial enumeration is described. This approach makes it povrible to study problems that inwlve a large number of existing facilities without sacrificing the level nf accuracy. The two approaches, exact and heuristic, are compared with respect to their computational efficiency. An example is solved using both approaches. © 1985 Taylor and Francis Ltd.",1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Implementation of flexible manufacturing technology in the batch manufacturing environment has created major problems for designers and engineers who are responsible for specification and design of flexible manufacturing systems (FMS). The FMS design task appears to be an excellent application for expert systems techniques. This paper describes current results of an ongoing research effort to develop an expert system which analyses the output from an FMS simulation model, determines whether operational and financial objectives are met, identifies design deficiencies or opportunities for improvement, and proposes designs which overcome deficiencies or exploit improvement opportunities. An overview of the FMS design expert system is given and a case study is presented to illustrate how the system operates. Areas for future research are also discussed. © 1990 Taylor & Francis Group, LLC.",1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper examines the order review/release (ORR) function and its impact on the operation of the shop floor. A source of disagreement between practitioners and researchers, ORR is an important element of any shop floor control system. This paper attempts to provide a better understanding of this element by presenting a framework for ORR. This framework not only identifies the important dimensions of ORR but also new dimensions for research. The paper also explores the relationship between ORR and job dispatching through a simple computer simulation model. The results indicate that the ORR, while reducing time spent in queue on the shop floor, does not always reduce the total time spent in the system. © 1989 Taylor & Francis Group, LLC.",1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ixndtimc error, the difference between the time actually used to manufnature an item and the planned leadtirne used by NRI'. is shown to play nn important intermediary role in the MRP pprformance of dynamic lo-sizing rules. A airnulntion experiment was performed to measure the leadtime error effects of fire lot-sizing rules: economic order quantity (EOQ): period nnler qunntity (POQ): lot for lot (LFL); part period balancing (I'PH): nnd t, lw Silver -ndJle al heuristic (S&M).S ome lot-sizing rules, which made inferior economic iradeoffs between the casts of inrentory holding and onlering (such as I, FL), were shown to induce tight lendtime error distributions and excellrnL cwerall perfcmnance. while others (natnhly POQ) were shown to result in larger errors and significantly poorer rlrlirery performance. The experiment's eornpotational results explain why the EOQ and POQ rules may not be appropriate fi, r use with MRI'. The best rulw tested were PI'H and S&M. © 1985 Taylor and Francis Ltd.",1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Not long ago, industrial engineers moved to acquire more insight into the area of economic considerations in quality control. Contributions in this area fell into four basic categories: procedures for the economic selection of a quality level, procedures for the design of optimal sampling plans, procedures for the design of a sequence of sampling plans and procedures for process control. Since a satisfying literature review of this area cannot be found, this presentation is concerned with a taxonomy and descriptions of currently existing economically based quality assurance procedures. Major existing procedures are mentioned and current and future procedures are described in detail. The choice of the procedures for detailed examination is made both on the basis of the availability of information and with an aim to obtain an adequate coverage of approaches. The evaluation is in terms of: (a) Data requirement—how many different factors have to be measured and evaluated? What is the degree of difficulty of measuring and evaluating these factors? (b) Built-in assumptions—what stated and unstated assumptions are built into the procedures? (c) Usefulness of outputs—is the procedure directly applied within a context of production process by those in charge of the quality control function? (d) Versatility —can the model be used in different contexts or is it limited to one specific use? Among other things, the taxonomy analyses: data requirements, manual or computer programmes necessary to execute the calculation of different parameters, difficulty in updating, operator proficiency level, the costs that are taken into account and the possibility of using the procedure in the context of assemblies. © 1978, Taylor & Francis Group, LLC.",1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Considerable attention has been given to the problems associated with acquiring and implementing many of the advanced manufacturing technologies currently available to firms. Much of the information being published, however, is based on individual experiences under conditions that are frequently not reported, as is common in the trade journals and public media. Fifteen such generally-accepted ‘postulates’ for managing factory automation are identified here and analysed in terms of five in-depth case studies involving advanced manufacturing systems. In a few cases, the postulates are rejected. In some cases they are qualified, and in many cases they are reinforced with substantially more detail. © 1987 Taylor & Francis Group, LLC.",1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A major problem in the adoption of advanced manufacturing systems for the automated factories of tomorrow is the prerequisite justification process. Many worthwhile.- ro, i ectsh ave been turned down because the aualitative benefits could not be included in the justification procedure while the direct cost savings were insufficient to mcct the financial hurdlessct by the firm This paper identifies and demonstrates the range of techniques that have been used byfir% to justify automation investments and describes the conditions under which it is most appropriate to employ them. © 1986 Taylor and Francis Ltd.",1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The paper discusses planning problems which arise when different products are manufactured on several assembly lines and production has to be co-ordinated with other manufacturing centres. In a limited labour market flexible production capacity requires the transfer and retraining of existing workers. The first section of the paper explores the simplest possible planning element which still contains enough of the essence of the problems to shed some light on the nature of a solution, This model consists of the planning of production of a single product in one location, under the supposition that teams of girls may be relinquished to (or obtained from) a labour reservoir at a penalty which corresponds to retraining costs. A production planning game based on this model is constructed, and played with teams of human planners. The game is also played by means of two types of systematic decision rules: (.1) a linear production smoothing rule: (.2) the optimum rule for the game, developed by dynamic programming. This permits a comparison of the efficacy of human planners in comparison to automatic decision rules. The dynamic programming model is extended in the next part of the paper to cover a more realistic model of the situation. The results of the dynamic programming analysis are shown to be a very valuable tool for the production planning of several product types in one plant, as well as for the co-ordination of different plants. © Taylor and Francis Group, LLC.",1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A brief review of available manufacturing systems is followed by an analysis of the problems faced by a company in the manufacture of components. The various manufacturing systems are then examined to see how well they solve the problems listed. It is deduced that a Group Technology approach provides the most efficient solution for the multi-component batch production factory and a discussion of the Group Technology approach is given. © 1971 Taylor and Francis Group, LLC.",1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The paper considers a new concept in the hierarchical decomposition of pattern recognition. Starting from the possibility of introducing topology into the composition and decomposition process, an automaton is derived for the decomposition of closed surfaces. Finally, a TOMOL algorithm is given. © 1983 Taylor and Francis Ltd.",1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Technological forecasting is located in technological space for a certain engineering domain and is the first step in the research and development of a new technology. There are many techniques already developed for technological forecasting like extrapolation of trends, heuristics forecasting by expert e.g. Delphi method. etc. The lnorphological method (MM) is used to describe a technique for identifying, indexing, counting and parametrizing the collection of all possible devices to achieve a specified functional capability. This is not a forecasting per se, but it is a useful organizing tool, a source of insights, and a starting point for further analysis by other methods, MilaEib (1976). In the paper we expand the capabilities of MM using artificial intelligence (AI) principles. The A1 production system has a global data base, a set of production rules and a control system. Special attention is paid to control strategv dex-eloping searching techniques in order to distinguish the explicit local knowledge about how to proceed toward a goal from any state from the implicit global knowledge of the complete solution. Some practical examples are also shown. © 1986 Taylor and Francis Ltd.",1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The purpose of this paper is to provide an overview of the machine requirements problem. The problem is described and a classification scheme is presented to categorize alternative approaches which might be used to formulate and analyze the problem. In addition, this article discusses the basic analytical approaches to the problem which have been reported in the literature, and relates these approaches to the problem's classification scheme. Conclusions are drawn as to strengths and weaknesses of the approaches, as well as to potential research directions.",1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Decision tables provide a graphical representation of complex procedures in a way that is easy to visualize and understand. The work required to define the system, develop and programme the solution and to provide the often neglected documentation can be incorporated in a tabular form so that all elements of decision taking are precisely denned. The tables present the relationships among the interfacing variables dearly and show the necessary sequences of conditions and actions in a simple manner. The writing and development of decision tables for implementation in a manufacturing system is indicated here giving details of appropriate checking procedures and con straint boundaries. © 1977, Taylor & Francis Group, LLC.",1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Illustration is given here of the different development, stages required in the retrofitting of an existing numerical control machine, giving appropriate details of the interface link. Some software developments are indicated that enhance the range of the machine tool when connected on-line to a minicomputer, and mention is made of the production of Novikov gears. © 1978, Taylor & Francis Group, LLC.",1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Some aspects, by a statistical approach, of the variation of the peak torque and mean cutting power encountered in gear hobbing are presented here. The cutting torque is measured by a purpose built strain gauge dynamometer and a wattmeter evaluates the power consumed. The problem is to determine whether a host of independent variables such as axial feed, module, material hardness, number of teeth in the gear blank and hobbing speed have a significant influence on the dependent variables, maximum cutting torque and average power. Mathematical models are constructed giving the relationship between these variables and the results indicate that the cutting speed has a significant influence on both the peak torque and average power. This significant point has not previously been noted for this type of process. © 1976, Taylor & Francis Group, LLC.",1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Many companies are converting their mixed-model multi-level production systems to just-in-time systems. This requires reducing set-up times so that small-lot production can be run. In this paper a theoretical basis is developed for scheduling these systems, and scheduling algorithms and heuristics are developed. The only other known scheduling method (the goal-chasing method), developed and used by Toyota, is shown to be a special case of these heuristics. © 1989 Taylor & Francis Group, LLC.",1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Earlier studies on production systems had indicated that the output is optimum when the less variable stages are loaded slightly more than the more variable stages. It is shown in this paper that this guideline is violated in systems consisting of a hyperexponential stage. From a comparative study of several two-stage systems it is shown that the unusual unbalancing behaviour of the hyperexponential distribution is due neither to its negative memory nor to any abnormality in the plot of its higher moments but to the fact that it is a composite distribution Considering a general two-stage system, in which each of the stages is composite to an arbitrary degree, it is shown that the mean cycle time of such a system can be written as a linear combination of the mean cycle times of the several sub-systems into which it can be decomposed. The unbalancing pattern of the overall system is shown to violate the conventional guideline because the component subsystems are in general grossly misbalanced when the overall system is notionally balanced. Exact expressions for the mean cycle time of two three-state systems (I: exponential-gamma-exponential and II: exponential-hyperexponential-exponential) are obtained by solving the integral equation for the distribution function of the residual time. From a comparative study of their unbalancing behaviour it is shown that the ‘composite stage effects play as dominant a role as the ‘bowl phenomenon’or the variability imbalance’. © 1985 Taylor and Francis Ltd.",1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A production lot size model has been developed for an inventory system with deteriorating items. Both the varying and constant rate of deterioration have been included in the analysis. For the case of a varying rate, it seems impossible to obtain a simple expression for the production lot size, so a numerical method has been suggested. For the constant rate of deterioration case, an approximate expression has been derived for the production lot size. Finally, a numerical example is solved to show the impact of deterioration. © 1975, Taylor & Francis Group, LLC.",1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A large percentage of industrial injuries are the result of performing manual materials handling (MMH) activities. Sometimes these injuries are due to inappropriate work practices, but very often due to the task demands. Such injuries, many of which are musculoskeletal, and the associated costs—workdays lost, reduced efficiency, compensation, etc.—have long been a concern to ergonomists. In this paper a procedure to evaluate and design MMH jobs is described. The generalized model structure utilizes the psychophysical approach. Data available in the published literature were used to develop models for determining work rates for the upper 90% of men and women in industry. Based upon the actual time duration, the model structure either evaluates a material handling job or provides guidelines for designing it. Two examples are solved to demonstrate the methodology. © 1983 Taylor and Francis Ltd.",1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Surface finish data were generated for aluminium alloy 390, ductile cast iron, medium carbon leaded steel 10L45, medium carbon alloy steel 4130, and inconel 718 for a wide range of machining conditions defined by cutting speed, feed and tool nose radius. These data were used to develop surface finish prediction models, as a function of cutting speed, feed, and tool nose radius, for each individual metal. A general purpose surface finish prediction model is also proposed for ductile cast iron, medium carbon leaded steel, and alloy steel. Statistical analysis of experimental data indicated that surface finish is strongly influenced by the type of metal, speed and feed of cut, and tool nose radius. While the effects of feed and tool nose radius on surface finish were generally consistent for all materials, the effect of cutting speed was not. The surface finish improved with speed for ductile cast iron, medium carbon leaded steel, medium carbon alloy steel, and aluminium alloy, but it deteriorated with speed for inconel. Apparently, speed effect on surface finish is not always positive. For all metals, the surface finish improved with the tool nose radius while it deteriorated with speed. © 1988 Taylor & Francis Group, LLC.",1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper reports the results of two studies conducted to understand several of those factors which influence torque exertion capabilities of workers. Using sample sizes ranging from 10 to 40, peak torque capability profiles, developed on males, are presented as a function of factors relevant in defining the 'operator-hand tool system'. Refs.",1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hand tools are responuihle for appmxirnately 10% of all industrial injuries. Ihpitp guidrlinrs firr dwigning Iwttrr hand tools and increased autamltitim comnwn unpowered h;ud tds are still heing used in assembly hne und maintmance operations in most developing and industrialized countries. l'hr decline in industrid productivity due to improper selection nnd usage of n hand tool has largely heen ignored till now. This trend, however. cannot continue for lung if the goal of industrial and production engineers is to strive constantly for higher productivity. This paper reports the results of two studies conducted to understand sereral of those factors which influence torque exertion capabilities of workers. Using sample sizes ranging from 10 to 40, peak torque capability profiles. developed on males. are presented as a function of factors relevant in defining the 'operator-hand tool system. © 1985 Taylor and Francis Ltd.",1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Several lot sizing procedures for determining order points and order quantities have received attention in the literature. A few of these are as follows: Economic Order Quantity, Least Total Cost, Periodic Order Quantity, Lot for Lot, Part-Period Balancing, Silver-Meal algorithm, and the Wagner-Whitin algorithm. While some of the above procedures are relatively easy to compute (Economic Order Quantity, Least Total Cost, Periodic Order Quantity, Lot for Lot, etc.), others have experienced limited use in practice because of their computational complexities (e.g. Wagner-Whitin and Silver-Meal algorithms). This paper presents two lot sizing procedures that are easy to use. These two procedures are modifications of the Economic Order Quantity and the Least Total Cost, and they dominate the corresponding technique from which they are derived. The performance of the new methods is compared to that of the original methods and the optimal solution © 1983 Taylor & Francis Group, LLC.",1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Two formulae to give the mean and the standarrl deviation of job flow-times are derived from the machine number, the load ratio, the required number of operations, and the mean and the standard deviation of processing times, which specify the characteristic. uf a job shop. On the basis of the two formulae, a method of due-date assignment which contains a due-date adjustment. factor is proposed. The assignment method is combined with the sequcncing procedure to construct the total scheduling system for reducing job tardiness. Two new dispatching rules are presented as the second phase of the system. The experimental comparison shows that theefficiency of t.he proposed systems call be better than the conventional scheduling systems. © 1981 Taylor & Francis Group, LLC.",1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper derives two formulae to calculate the average inventory yielded by fixed interval withdrawal Kanban and supplier Kanban, respectively, in a just-in-time production system. By using the formulae, another two formulae to determine the minimum number of Kanbans to be required for the fixed interval withdrawal Kanban and the supplier Kanban are also shown. An algorithm to obtain the optimal order interval is proposed to minimize the total operation cost composed of the inventory cost and the withdrawal cost for the Kanban system. © 1988 Taylor & Francis Group, LLC.",1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The paper describes experimental investigation into the internal broaching process and deals with three related sections. (i) The tendency of a broach to correct misalignments and surface irregularities of the pilot hole. Split workpieces, clamped in a special fixture for machining, enabled measurements and surface traces to be taken after drilling and after broaching. The effect of hole axis inclination, deliberately introduced at the time of drilling was examined. (ii) The tendency of a broach to drift in a transverse direction was studied by the use of composite workpieces built up of similar and dissimilar materials. (iii) Work on section (ii) showed that when broaching a composite workpiece of steel and brass more material was removed from the steel than the brass, i.e. the broach drifterd, transversely, towards the steel. To study this effect further, a broaching dynamometer was used to measure tangential and normal forces during the broaching of composite specimens. © 1971 Taylor and Francis Group, LLC.",1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In this paper, an analysis of multiple projects-multiple resources-constrained scheduling problems is presented. A multi-objective management perspective has been used to arrive at schedules for the best utilization of scarce resources. The analysis is accomplished by means of two familiar techniques such as integer goal programming and simulation. Both the techniques are compared by studying some real-life construction projects. Multiple performance measures are used to establish the validity of each technique and also to set directions for project managers to select situation-based technique. © 1989 Taylor & Francis Group, LLC.",1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Today, the robot and robotics are the subject of countless publications. However, it is difficult to obtain a clear picture of reality when some praise the robot as the indispensable technological tool of the year 2000, and others attack it as a cause of unemployment and of other ills. Regardless of who is right and of examples of faultless applications such as those seen in the automobile industry, the development of robotics is much less rapid than experts had anticipated early in the 1980s. What are the reasons for this slowdown? Prohibitive costs, technological difficulties or organizational obstacles? The present paper covers the history of the implementation of a robotic installation in the steel industry in France (the firm where the actual study was conducted required anonymity). The authors attempt to analyse the positive, as well as the negative comments gleaned from the participants at the plant. Most of the difficulties encountered are related to the technological modifications required in the plant to install the robot and its peripheral equipment, as well as to labour and organizational changes which affected those most directly involved. This particular experience serves to provide lessons of general importance concerning the dos and the don'ts of a project of robotization (Besson 1983, Guest 1984). © 1989 Taylor & Francis Group, LLC.",1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper extends the classical m product, single machine economic lot size problem to include the cost of returns due to spoilage. A revised cycle time is determined for the case where spoiled items are always returned and for the case where there is a chance the spoiled item will not be returned. Differences among all three models are illustrated with a numerical example © 1976, Taylor & Francis Group, LLC.",1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A case study of an engineering firm is described in which all causes of delay over given periods of time were analysed and traced to their sources. These were examined in relation to the firm's structure and personnel. Basic reasons for many of the delays are suggested which underlie the stated or apparent causes. Data sources and analysis methods developed for this work are described. © 1961 Taylor & Francis Group, LLC. All rights reserved.",1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We first discuss the characteristics of a general-purpose, user-oriented discrete event simulator for FMS. Then we briefly review the literature on scheduling rules for manufacturing systems. The performance of a number of dispatching rules is subsequently analysed using our modular simulator to mimic the operation of a real-life FMS. Results show that dispatching rules have a large impact on various system performance measures, such as average machine utilization. Considering the high investment costs of FMS it is certainly worthwhile to choose the best dispatching rule by use of simulation. This is especially true since modular and user-friendly simulators are now available so that the analysis can be performed quickly and at very moderate cost. © 1990 Taylor & Francis Group, LLC.",1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A parallel processor shop was modeled in order to simulate its performance, with respect to certain criteria, when jobs were dispatched to machines by various priority dispatching rules. Several rules which have shown good performance in pure job shop studies, as well as a new weighted objective rule, were tested in the modeled environment. The rules performed much as would have been expected from reviewing job shop literature. However, some interesting differences were observed. In general, the performance of the shop was substantially improved by using the priority rules. © Taylor and Francis Group, LLC.",1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
